+--------------+------+--------+-------+-----------+
|  series id   | year | period | value | footnotes |
| APU000074714 | 2015 |  M03   | 2.483 |           |
| APU000074714 | 2015 |  M02   | 2.249 |           |
| APU000074714 | 2015 |  M01   | 2.110 |           |
| APU000074714 | 2014 |  M12   | 2.560 |           |
| APU000074714 | 2014 |  M11   | 2.887 |           |
| APU000074714 | 2014 |  M10   | 3.182 |           |
| APU000074714 | 2014 |  M09   | 3.403 |           |
| APU000074714 | 2014 |  M08   | 3.481 |           |
| APU000074714 | 2014 |  M07   | 3.633 |           |
| APU000074714 | 2014 |  M06   | 3.695 |           |
| APU000074714 | 2014 |  M05   | 3.691 |           |
| APU000074714 | 2014 |  M04   | 3.659 |           |
| APU000074714 | 2014 |  M03   | 3.532 |           |
| APU000074714 | 2014 |  M02   | 3.364 |           |
| APU000074714 | 2014 |  M01   | 3.320 |           |
| APU000074714 | 2013 |  M12   | 3.277 |           |
| APU000074714 | 2013 |  M11   | 3.251 |           |
| APU000074714 | 2013 |  M10   | 3.375 |           |
| APU000074714 | 2013 |  M09   | 3.556 |           |
| APU000074714 | 2013 |  M08   | 3.600 |           |
| APU000074714 | 2013 |  M07   | 3.628 |           |
| APU000074714 | 2013 |  M06   | 3.633 |           |
| APU000074714 | 2013 |  M05   | 3.623 |           |
| APU000074714 | 2013 |  M04   | 3.590 |           |
| APU000074714 | 2013 |  M03   | 3.735 |           |
| APU000074714 | 2013 |  M02   | 3.693 |           |
| APU000074714 | 2013 |  M01   | 3.351 |           |
| APU000074714 | 2012 |  M12   | 3.331 |           |
| APU000074714 | 2012 |  M11   | 3.488 |           |
| APU000074714 | 2012 |  M10   | 3.786 |           |
| APU000074714 | 2012 |  M09   | 3.856 |           |
| APU000074714 | 2012 |  M08   | 3.707 |           |
| APU000074714 | 2012 |  M07   | 3.451 |           |
| APU000074714 | 2012 |  M06   | 3.552 |           |
| APU000074714 | 2012 |  M05   | 3.792 |           |
| APU000074714 | 2012 |  M04   | 3.927 |           |
| APU000074714 | 2012 |  M03   | 3.868 |           |
| APU000074714 | 2012 |  M02   | 3.572 |           |
| APU000074714 | 2012 |  M01   | 3.399 |           |
| APU000074714 | 2011 |  M12   | 3.278 |           |
| APU000074714 | 2011 |  M11   | 3.423 |           |
| APU000074714 | 2011 |  M10   | 3.468 |           |
| APU000074714 | 2011 |  M09   | 3.612 |           |
| APU000074714 | 2011 |  M08   | 3.630 |           |
| APU000074714 | 2011 |  M07   | 3.654 |           |
| APU000074714 | 2011 |  M06   | 3.702 |           |
| APU000074714 | 2011 |  M05   | 3.933 |           |
| APU000074714 | 2011 |  M04   | 3.816 |           |
| APU000074714 | 2011 |  M03   | 3.546 |           |
| APU000074714 | 2011 |  M02   | 3.167 |           |
| APU000074714 | 2011 |  M01   | 3.091 |           |
| APU000074714 | 2010 |  M12   | 2.985 |           |
| APU000074714 | 2010 |  M11   | 2.852 |           |
| APU000074714 | 2010 |  M10   | 2.795 |           |
| APU000074714 | 2010 |  M09   | 2.704 |           |
| APU000074714 | 2010 |  M08   | 2.745 |           |
| APU000074714 | 2010 |  M07   | 2.736 |           |
| APU000074714 | 2010 |  M06   | 2.736 |           |
| APU000074714 | 2010 |  M05   | 2.869 |           |
| APU000074714 | 2010 |  M04   | 2.858 |           |
| APU000074714 | 2010 |  M03   | 2.780 |           |
| APU000074714 | 2010 |  M02   | 2.659 |           |
| APU000074714 | 2010 |  M01   | 2.731 |           |
+--------------+------+--------+-------+-----------+
